classification,Category,Bulgarian,Pronunciation,English,Grammar_Notes,Unnamed: 6,Unnamed: 7,Unnamed: 8
Bulgarian_Phrases,Accommodation,Имам резервация.,I-mam re-zer-va-tsi-ya.,I have a reservation.,nan,nan,nan,nan
Bulgarian_Phrases,Accommodation,Искам стая.,Is-kam sta-ya.,I want a room.,nan,nan,nan,nan
Bulgarian_Phrases,Accommodation,За една нощ.,Za ed-na nosht.,For one night.,nan,nan,nan,nan
Bulgarian_Phrases,Accommodation,Колко струва за нощ?,Kol-ko stroo-va na ve-cher?,How much per night?,nan,nan,nan,nan
Bulgarian_Phrases,Accommodation,ключ,kluchet,key,nan,nan,nan,nan
Bulgarian_Phrases,Accommodation,Къде е хотелът?,Ka-de e ho-te-lat?,Where is the hotel?,nan,nan,nan,nan
Bulgarian_Phrases,Accommodation,Тих съм.,Bez-shoo-men sam.,I am quiet,nan,nan,nan,nan
Bulgarian_Phrases,Accommodation,Не работи.,Ne ra-bo-ti.,It doesn't work.,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Кой е любимият ти цвят?,KakÇŽv e lyubimiyat ti tsvyat?,What is your favourite colour?,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Цветът е червен.,TsvetÇŽt e cherven.,The colour is red.,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Това е синьо.,Tova e sinyo.,This is blue.,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Зелената врата,Zelenata vrata,The green door,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Жълтата кола,ZhÇŽltata kola,The yellow car,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Черна риза,Cherna riza,Black shirt,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Бяла къща,Byala kÇŽshta,White house,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Оранжево слънце,Oranzhevo slÇŽntse,Orange sun,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Лилави цветя,Lilavi tsvetya,Purple flowers,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Розова рокля,Rozova roklya,Pink dress,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Сив облак,Siv oblak,Grey cloud,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Кафяво куче,Kafyavo kuche,Brown dog,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Тъмносиньо,TÇŽmno sinyo,Dark blue,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Светлозелено,Svetlo zeleno,Light green,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Цветът е ярък.,TsvetÇŽt e yÇŽrÇŽk,The colour is bright.,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Цветът е тъмен.,TsvetÇŽt e tÇŽmen,The colour is dark.,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Харесвам този цвят.,Kharesvam tozi tsvyat,I like this colour.,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Това е любимият ми цвят.,Tova e lyubimiyat mi tsvyat,This is my favourite colour.,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Цветовете са красиви.,Tsvetovete sa krasivi,The colours are beautiful.,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Какъв цвят е това?,KakÇŽv tsvyat e tova?,What colour is this?,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Виждам всичко в розово (оптимистичен съм).,Vizhdam vsichko v rozovo.,I see everything in pink (Iâ€™m optimistic).,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Почерних от гняв.,Pochernyakh ot yad.,I turned black with anger.,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Позеленях от завист.,Pozelenyakh ot zavist.,I turned green with envy.,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Заздравях (почервенях).,Izchervikh se.,I blushed (turned red).,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Сивата ежедневина.,Sivoto ezhednevie.,The grey daily routine.,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Черно на бяло (ясно писмено доказателство).,Cherno na byalo.,"Black on white (clear, written proof).",nan,nan,nan,nan
Bulgarian_Phrases,Colours,Нека да виждаме нещата в цвете (позитивно).,Da vidim neshtata v tsvetove.,Letâ€™s see things in colour (positively).,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Животът е пъстър (изпълнен с разнообразие).,ZhivotÇŽt e sharen.,Life is colourful (full of variety).,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Бял късмет (добра късмет).,Byal kÇŽsmet.,White luck (good fortune).,nan,nan,nan,nan
Bulgarian_Phrases,Colours,Нека добавим малко цвят (да го оживим).,Da slozhim malko tsvyat.,Letâ€™s add some colour (make it lively).,nan,nan,nan,nan
Bulgarian_Phrases,Common Questions,Кой?,Koy?,Who?,nan,nan,nan,nan
Bulgarian_Phrases,Common Questions,Какво?,Kak-vo?,What?,nan,nan,nan,nan
Bulgarian_Phrases,Common Questions,Къде?,Ka-de?,Where?,nan,nan,nan,nan
Bulgarian_Phrases,Common Questions,Кога?,Ko-ga?,When?,nan,nan,nan,nan
Bulgarian_Phrases,Common Questions,Защо?,Za-shto?,Why?,nan,nan,nan,nan
Bulgarian_Phrases,Common Questions,Как?,Kak?,How?,nan,nan,nan,nan
Bulgarian_Phrases,Common Questions,Кой е?,Koy e?,Who is it?,nan,nan,nan,nan
Bulgarian_Phrases,Common Questions,Какво е това?,Kak-vo e to-va?,What is that?,nan,nan,nan,nan
Bulgarian_Phrases,Common Questions,Може ли? / Възможно ли е?,Mo-zhe li?,Can I? / Is it possible?,nan,nan,nan,nan
Bulgarian_Phrases,Common Questions,Има ли проблем?,I-ma li prob-lem?,Is there a problem?,nan,nan,nan,nan
Bulgarian_Phrases,Daily Routine,Събуждам се.,SÅ­-bu-zh-dam se.,I wake up.,nan,nan,nan,nan
Bulgarian_Phrases,Daily Routine,Ставам от леглото.,Sta-vam ot le-gloto.,I get out of bed.,nan,nan,nan,nan
Bulgarian_Phrases,Daily Routine,Приготвям закуска.,Pra-vya za-koo-ska.,I make breakfast.,nan,nan,nan,nan
Bulgarian_Phrases,Daily Routine,Пия кафе.,Pi-ya ka-fe.,I drink coffee.,nan,nan,nan,nan
Bulgarian_Phrases,Daily Routine,Мия си зъбите.,Mi-ya zÅ­-bi-te.,I brush my teeth.,nan,nan,nan,nan
Bulgarian_Phrases,Daily Routine,Вземам душ.,Vzi-mam dush.,I take a shower.,nan,nan,nan,nan
Bulgarian_Phrases,Daily Routine,Обличам се.,Ob-li-cham se.,I get dressed.,nan,nan,nan,nan
Bulgarian_Phrases,Daily Routine,Отивам на работа.,O-ti-vam na ra-bo-ta.,I go to work.,nan,nan,nan,nan
Bulgarian_Phrases,Daily Routine,Връщам се вкъщи.,VrÅ­shtam se vkÅ­shti.,I come back home.,nan,nan,nan,nan
Bulgarian_Phrases,Daily Routine,Приготвям обяд.,Pri-go-tvyaam o-byad.,I prepare lunch.,nan,nan,nan,nan
Bulgarian_Phrases,Daily Routine,Готвя вечеря.,Got-vya ve-che-rya.,I cook dinner.,nan,nan,nan,nan
Bulgarian_Phrases,Daily Routine,Мия чиниите.,Mi-ya chi-ni-i-te.,I wash the dishes.,nan,nan,nan,nan
Bulgarian_Phrases,Daily Routine,Пускам пералнята.,Pus-kam pe-ral-nyata.,I start the washing machine.,nan,nan,nan,nan
Bulgarian_Phrases,Daily Routine,Сортирам дрехите.,Sor-ti-ram dre-khi-te.,I sort the clothes.,nan,nan,nan,nan
Bulgarian_Phrases,Daily Routine,Разхождам кучето.,Raz-hozh-dam ku-che-to.,I walk the dog.,nan,nan,nan,nan
Bulgarian_Phrases,Daily Routine,Чета/проверявам имейли.,Che-ta i-mey-li.,I read/check emails.,nan,nan,nan,nan
Bulgarian_Phrases,Daily Routine,Правя си почивка.,Pra-vya po-chiv-ka.,I take a break.,nan,nan,nan,nan
Bulgarian_Phrases,Daily Routine,Настройвам алармата.,Za-da-vam a-lar-ma.,I set the alarm.,nan,nan,nan,nan
Bulgarian_Phrases,Daily Routine,Лягам си.,Lyagam si.,I go to bed.,nan,nan,nan,nan
Bulgarian_Phrases,Daily Routine,Полявам растенията.,Po-li-vam ras-te-ni-ya-ta.,I water the plants.,nan,nan,nan,nan
